data,consumidores,consumo_kw,"temperatura_do_ar___bulbo_seco,_horaria_(c)",temperatura_do_ponto_de_orvalho_(c),temperatura_maxima_na_hora_ant._(aut)_(c),temperatura_minima_na_hora_ant._(aut)_(c),temperatura_orvalho_max._na_hora_ant._(aut)_(c),temperatura_orvalho_min._na_hora_ant._(aut)_(c),temp._ins._(c),temp._max._(c),temp._min._(c)
20151001,11,2,,,,,,,,,
20211201,1,"7,739",,,,,,,,,
20161001,151,334,,,,,,,,,
20151201,67506,29942,,,,,,,,,
20200601,2,"341,14",,,,,,,,,
20191201,16390,"14460,238",,,,,,,,,
20160101,1,926,,,,,,,,,
20191101,4,"1,26",,,,,,,,,
20230601,137,"42,265",,,,,,,,,
20220101,1,"0,96",,,,,,,,,
20170901,128,18,,,,,,,,,
20210501,11136,16972,,,,,,,,,
20190901,1099,"288,99",,,,,,,,,
20240801,469,"9951,403",,,,,,,,,
20221201,1428,"139469,67",,,,,,,,,
20200501,7,"1,136",,,,,,,,,
20160301,103727,8330,,,,,,,,,
20121101,9,1,,,,,,,,,
20130601,194,2520,,,,,,,,,
20150401,55937,30955,,,,,,,,,
20201101,1,"32,02",,,,,,,,,
20170301,5,12859,,,,,,,,,
20131101,2942,718,,,,,,,,,
20200501,6,"0,488",,,,,,,,,
20200101,25,"736,06",,,,,,,,,
20160501,1,,,,,,,,,,
2024/04/11,,,"20,4","19,7","20,4","19,5","19,8",19,,,
20171001,15,,,,,,,,,,
20240201,144549,"15321,334",,,,,,,,,
20240901,2,,,,,,,,,,
20150601,31,762,,,,,,,,,
20240301,31843,"2287,116",,,,,,,,,
20191201,673,"542,369",,,,,,,,,
20201001,5,"6497,81",,,,,,,,,
20190901,47,"32,749",,,,,,,,,
20220701,217,"31,236",,,,,,,,,
20211201,2,"235,35",,,,,,,,,
20230701,1,"0,191",,,,,,,,,
20170701,6,3,,,,,,,,,
20130901,665,280,,,,,,,,,
20220701,54,"524,114",,,,,,,,,
20150501,4944,9397,,,,,,,,,
20230201,12,420,,,,,,,,,
20150701,1,3469,,,,,,,,,
20170801,1721,2659,,,,,,,,,
20111201,10,637,,,,,,,,,
20171101,28,473,,,,,,,,,
20230201,212,"18,57",,,,,,,,,
20220701,25,362,,,,,,,,,
20160901,14397,4143,,,,,,,,,
20140701,,122760,,,,,,,,,
20201101,182,"3859,354",,,,,,,,,
20230901,1,10116,,,,,,,,,
20210601,1206,2813,,,,,,,,,
2024/01/12,,,"23,4","19,8","24,4","23,3",20,"18,1",,,
20210501,6,"9867,427",,,,,,,,,
20121101,2,54294,,,,,,,,,
20181101,2,"3984,117",,,,,,,,,
20160301,134,4,,,,,,,,,
20150401,307,20861,,,,,,,,,
20160301,3,1252,,,,,,,,,
20230101,1969,"578,915",,,,,,,,,
20200801,645,"327,641",,,,,,,,,
20240401,94581,"6865,3",,,,,,,,,
20221201,1,"0,195",,,,,,,,,
20240101,3263,"18626,101",,,,,,,,,
20180101,184,4055,,,,,,,,,
20140901,24144,1639,,,,,,,,,
20220901,95,"2,85",,,,,,,,,
20191101,324520,"22449,4",,,,,,,,,
20140801,4,7120,,,,,,,,,
20181101,183,"4614,733",,,,,,,,,
20240101,21395,"326,148",,,,,,,,,
20241001,4723,6189,,,,,,,,,
20231201,20337,5139,,,,,,,,,
20120501,42596,3281,,,,,,,,,
20120101,31123,13835,,,,,,,,,
20210101,132,"2034,889",,,,,,,,,
20140701,96,2987,,,,,,,,,
20200301,10,"1005,668",,,,,,,,,
20120401,3,,,,,,,,,,
20210501,53,"463,564",,,,,,,,,
20240501,816,59,,,,,,,,,
20180701,2,"2788,809",,,,,,,,,
20170701,15002,1018,,,,,,,,,
20210401,1,"0,408",,,,,,,,,
20151101,,1732,,,,,,,,,
20180301,168611,"11916,425",,,,,,,,,
20120901,115449,32410,,,,,,,,,
20170101,38895,22610,,,,,,,,,
20111201,12408,5694,,,,,,,,,
20170301,235,17,,,,,,,,,
20240901,44533,"29518,013",,,,,,,,,
20220701,59,51,,,,,,,,,
20150501,5386,38383,,,,,,,,,
20221101,73424,"48311,577",,,,,,,,,
20170601,10803,20139,,,,,,,,,
20201001,131,"274,423",,,,,,,,,
20140901,27,3004,,,,,,,,,
20221101,199,"16967,519",,,,,,,,,
20220701,193661,"24410,672",,,,,,,,,
20160201,19855,5141,,,,,,,,,
2024/04/12,,,"18,3",18,"19,2","18,1","18,8","17,7",,,
20121201,167,113337,,,,,,,,,
20200201,18609,"3567,492",,,,,,,,,
20110801,1,1909,,,,,,,,,
20160201,1527,486,,,,,,,,,
20130501,6,473,,,,,,,,,
20151001,14,1015,,,,,,,,,
20140801,4954,7035,,,,,,,,,
20201201,3036,24,,,,,,,,,
20121001,108429,7514,,,,,,,,,
20211101,18480,"3287,038",,,,,,,,,
20160201,8,41,,,,,,,,,
20130601,3326,2005,,,,,,,,,
20130401,677,8279,,,,,,,,,
20170701,344909,235846,,,,,,,,,
20170301,1,49,,,,,,,,,
20160301,1663,1401,,,,,,,,,
20120601,550,262,,,,,,,,,
20240201,10,120609,,,,,,,,,
20201201,753564,"184161,092",,,,,,,,,
20240201,18,"2888,148",,,,,,,,,
20160801,2,16,,,,,,,,,
20190801,2271,184,,,,,,,,,
20220601,29542,"19429,137",,,,,,,,,
20161101,125,8,,,,,,,,,
